slot,scheduled_at,text,media,hashtags
1,2026-08-27 07:30,AIに全部書かせたnote、5本出して売れたのはゼロ部でした。 {URL},cover1.png,#note #AI活用
2,2026-08-27 12:15,「見出しも整ってるし誤字もない。なのに一件もスキがつかない」——AI丸投げnoteの現実です。 {URL},cover1.png,#note
3,2026-08-27 18:30,タイトルの結び5文字を自分の言葉に変えただけで、初日のスキ数が4倍になりました。 {URL},cover3.png,#AI活用
4,2026-08-27 21:00,AIが1番目に出すテーマは、たいてい供給過多です。実体験で気づきました。 {URL},cover8.png,#note
5,2026-08-28 07:30,「〜かもしれません」を消しただけで、コメント欄の反応が変わりました。 {URL},cover9.png,#AI活用 #note
6,2026-08-28 12:15,AIに任せれば楽に稼げると思ってました。5本ゼロ部になって、やっと分かったことがあります。 {URL},cover7.png,#note
7,2026-08-28 18:30,AIツールを使ってるのに、思ったより時間がかかる。原因は「どこまで直すか」の線引きが無いことでした。 {URL},cover6.png,#AI活用
8,2026-08-28 21:00,有料note、いくらで売ればいいか毎回悩む。私は300円と500円、両方試して答えを出しました。 {URL},cover3.png,#note
9,2026-08-29 07:30,AI下書きで消耗してる人へ。私が握ると決めた工程は、たった3つだけです。 {URL},cover6.png,#AI活用
10,2026-08-29 12:15,「自信のない人が書いた記事」に見えてしまう理由、実は文末の保険表現でした。 {URL},cover7.png,#note
11,2026-08-29 18:30,Before:AIに丸投げ→5本ゼロ部。After:3工程を握る→初日スキ4倍。変えたのはやり方であって才能じゃないです。 {URL},cover2.png,#note
12,2026-08-29 21:00,5本書いて、0部でした。正直悔しかったです。今日、そこから作った工程を全部公開します。 {URL},cover1.png,#AI活用
13,2026-08-30 07:30,タイトルの結び5文字だけ変えて、クリック率が変わりました。中身はほぼ同じ記事です。 {URL},cover2.png,#note
14,2026-08-30 12:15,「〜完全ガイド」を「〜だと思っていました」に変えただけ。それだけでスキ数が4倍になった話。 {URL},cover2.png,#AI活用
15,2026-08-30 18:30,AIに丸投げした3本と、自分で握った工程を入れた記事。読み比べてみると差は明らかでした。 {URL},cover2.png,#note
16,2026-08-30 21:00,Tips:テーマ選びは、AIの1番目の回答を採用しない。それだけで供給過多の土俵を避けられます。 {URL},cover8.png,#note
17,2026-08-31 07:30,Tips:執筆前に「自分にしか分からない数字」を3つ書き出す。出てこない日は書く準備ができていない日です。 {URL},cover6.png,#AI活用
18,2026-08-31 12:15,Tips:結論部分だけ声に出して読む。「〜かもしれません」が耳に残ったら、その場で言い切りに直します。 {URL},cover6.png,#note
19,2026-08-31 18:30,Tips:言い切りに直すのは結論と有料境界の直前だけ。全部を直そうとしないのもコツです。 {URL},cover6.png,#AI活用
20,2026-08-31 21:00,Tips:テーマ調査はタイマーで5分固定。「なんとなく」で切り上げないための仕組みです。 {URL},cover8.png,#note
21,2026-09-01 07:30,AIに書かせたnote、実際売れてますか?正直な数字、教えてほしいです。 {URL},cover9.png,#note
22,2026-09-01 12:15,あなたは「AI下書き派」「自分で全部書く派」どっち?私は今、工程を分けるところに落ち着きました。 {URL},cover9.png,#AI活用
23,2026-09-01 18:30,300円と500円、あなたならどっちで出しますか?私は両方試して意外な答えが出ました。 {URL},cover3.png,#note
24,2026-09-01 21:00,タイトルの語尾、AIの提案そのまま使ってますか?私はそこだけ直したら反応が変わりました。 {URL},cover1.png,#AI活用
25,2026-09-02 07:30,「AIに丸投げでは稼げない」——これ、あなたも感じたことありますか? {URL},cover9.png,#note
26,HOLD,〔HOLD〕この記事、公開◯日で◯人に読まれました。丸投げしていた頃には無かった反応です。 {URL},cover1.png,#note
27,HOLD,〔HOLD〕「チェックリストだけでも助かった」というコメントを◯件もらいました。 {URL},cover6.png,#AI活用
28,HOLD,〔HOLD〕この記事、◯人が保存してくれています。実体験ベースの記事は伸び方が違うと実感しています。 {URL},cover8.png,#note
29,2026-09-02 12:15,この記事は、AIに丸投げして5本ゼロ部だった時期の反省をそのまま書いています。旬が過ぎないうちに読んでほしいです。 {URL},cover1.png,#note
30,2026-09-02 18:30,続編（テーマ調査・分業マップ編）も準備中です。まずはこの1本目から読んでもらえたら嬉しいです。 {URL},cover10.png,#AI活用
