slot,scheduled_at,text,media,hashtags,status
1,2026-08-24 07:30,"AIに書かせた4,000字を読み返して、私は一行も面白くないと思った。内容は合ってる。構成も整ってる。でも誰もいない。AI文が読まれない理由、8つに分解した。{URL}",cover3.png,#note #AI活用,ready
2,2026-08-24 12:15,"今日できるやつ。原稿を開いて「でしょうか」で検索。出てきた数が、あなたの原稿からAIが顔を出してる回数です。全部断定に変えるだけで変わる。{URL}",,#AIライティング,ready
3,2026-08-24 18:30,"Before：冒頭の一文が重要ではないでしょうか。After：冒頭の一文で全部決まる。情報量は同じ。違いは1つだけ。後者には書き手がいる。{URL}",cover2.png,#note,ready
4,2026-08-24 21:00,"「〜ではないでしょうか」この語尾が出た瞬間、文章から書き手が消える。読者は「で、結局どっちなの」としか思わない。保険をかけた文章に、人は金を払わない。{URL}",,#AI活用,ready
5,2026-08-25 07:30,"AIで書いてるのに読まれない人へ。情報が薄いからじゃない。書き手が消えてるからです。8症状と置換ルール、全部書いた。{URL}",cover3.png,#note #AIライティング,ready
6,2026-08-25 12:15,"私の初期原稿、4,000字で「でしょうか」が17回出てきた。直す作業は10分。それだけで文章の読まれ方が変わった。{URL}",,#note,ready
7,2026-08-25 18:30,"AIは絶対に順番を間違えない。だから「まず/次に/最後に」が整いすぎてると、それ自体が署名になる。人は話すとき「あとこれも大事なんだけど」って後から足す。{URL}",,#AIライティング,ready
8,2026-08-25 21:00,"まだ「いかがでしたか」で締めてませんか。あれ、何も指示してないので読者は何をすればいいか分からないまま閉じます。{URL}",cover9.png,#note,ready
9,2026-08-26 07:30,"3週間で20本書いてスキ3つ。うち2つは知り合い。そこから原稿を1文ずつ声に出して読んで、気づいた。私の文章には誰もいなかった。{URL}",,#note #副業,ready
10,2026-08-26 12:15,"主語を戻すときのコツ。「私は苦労した」じゃ足りない。「私は3ヶ月で挫折した」まで書く。他人に書けない文章だけが、有料で売れる。{URL}",,#AIライティング,ready
11,2026-08-26 18:30,"「自分の文章に見えない」問題。原因は語尾7割・構成3割でした。語尾は10分で直る。構成は失敗談を1つ足すだけ。{URL}",,#note,ready
12,2026-08-26 21:00,"自分の原稿で「でしょうか」検索した人、何件出ました？私は17件でした。リプで教えてください（多いほど伸びしろあります）",,,ready
13,2026-08-27 07:30,"AIっぽさは才能の問題じゃない。検出と置換の問題。だから誰でも直せるし、慣れれば15分で終わる。{URL}",cover3.png,#AI活用,ready
14,2026-08-27 12:15,"「重要です」と書きたくなったら、それは思考をサボったサイン。一度消して読み返すと、自分が何を言いたかったのか決まってなかったと分かる。{URL}",,#AIライティング,ready
15,2026-08-27 18:30,"Before：多くの方に効果が期待できるのではないでしょうか。After：私には効いた。全員に効くとは言わない。約束の範囲は後者のほうが狭い。なのに信用されるのは後者。{URL}",cover2.png,#note,ready
16,2026-08-27 21:00,"AIで書いてること、公開してます？隠してます？私は隠すのをやめました。理由は記事に書いた。みなさんどっち派ですか。",,,ready
17,2026-08-28 07:30,"AI記事がバレる不安、たぶん潰し方が分かってないだけ。バレる要素は日本語の言い回しに集約されてて、しかも8種類しかない。{URL}",,#AI活用,ready
18,2026-08-28 12:15,"箇条書きの見分け方。各項目が1行で終わってるなら、地の文に戻せる。各項目が3行以上あるなら、箇条書きの意味がない。ちゃんと使えるのは手順とチェックリストだけ。{URL}",,#AIライティング,ready
19,2026-08-28 18:30,"成功例だけで組んだ記事は、語尾をどれだけ人間らしくしてもAIの匂いが消えない。失敗を1つ入れるだけで、他を直さなくても一気に人間の文章になる。{URL}",,#note,ready
20,2026-08-28 21:00,"AIっぽい文章の特徴、1つ挙げるなら何ですか。私の答えは「保険の語尾」です。8つ全部挙げたのがこれ。{URL}",,#AIライティング,ready
21,2026-08-29 07:30,"文が全部40字前後で続くと、読者は催眠にかかる。いちばん言いたい一行は10字以内にする。読者は飽きている。——これだけでリズムが変わる。{URL}",,#note,ready
22,2026-08-29 12:15,"「様々な要因があります」→ 書き手は要因を数えていない。数えれば「3つある」と書ける。数字が入るだけで、その文は急に信用される。{URL}",,#AIライティング,ready
23,2026-08-29 18:30,"「AIに丸投げでは稼げない」とよく言われるけど、じゃあどこまで任せてどこを握るのか、誰も具体的に書いてない。その境界線を書きました。{URL}",cover8.png,#AI活用 #副業,ready
24,2026-08-29 21:00,"毎回トーンがブレる原因、プロンプトじゃなくて推敲の不在でした。私は推敲でこの8箇所を機械的に検索してます。所要15分。{URL}",,#note,ready
25,2026-08-30 07:30,"質問。AIに任せていい工程と、絶対に人が握るべき工程の境界ってどこだと思いますか。私の結論は「失敗談だけは自分で書く」でした。{URL}",,,ready
26,,"{保存数}人が保存してくれました。一番読まれてるのは無料パートの「症状1：保険の語尾」のところです。{URL}",,#note,HOLD-実績が出てから
27,,"感想でいちばん多かったのが「チェックリストだけで元が取れた」でした。推敲時に上から機械的に検索していくやつです。{URL}",,#note,HOLD-実績が出てから
28,,"{販売数}部売れました。書いた内容がそのまま自分に返ってくる記事だったので、この記事自体を8症状で検品してから出しました。{URL}",,#note,HOLD-実績が出てから
29,,"{日付}から500円にします。今は300円の試し買い価格です。中身は8症状＋置換ルール＋推敲チェックリスト。{URL}",,#note,HOLD-値上げ確定後
30,,"このシリーズ、次は「AIに任せる工程/握る工程」を書きます。その前に土台になるのがこれ。{URL}",cover10.png,#note,HOLD-次記事確定後
